Roles SDM;Urutan 1;Urutan 2;Urutan 3;Urutan 4;Urutan 5;Urutan 6;Urutan 7;Urutan 8
IT Business Analyst;Business Analyst;Senior Business Analyst;Analytics Manager;Analytics Industri Leader;Strategy Leader/ Organization;;;
IT Business Analyst;Business Analyst;IT Business Analyst;Senior/Lead Business Analyst;SME/ Business Process Consultant;Independent Consultant;;;
IT Business Analyst;Business Analyst;IT Business Analyst;Senior/Lead Business Analyst;SME/ Business Process Consultant;Business/ Account Manager (Representing Client);Independent Consultant;;
Data Analyst;Data Analyst;Data Scientist;Senior Data Scientist;VP/Director;Chief Data Officer/Scientist;;;
Data Analyst;Data Analyst;Business/ Insights Analyst;Senior Business Analyst;Analytics/ Engagement Manager;Head of Analytics;;;
Data Analyst;Data Analyst;Business/Insights Analyst;Operations Analyst/ Category Analyst;Operations/ Category Manager;Head of Operations/ Category;;;
Data Analyst;Data Analyst;Management Consultant - Senior Analyst;Engagement Manager;Principal;Partner;;;
Data Analyst;Data Analyst;Financial Analyst;Portofolio Manager;Group Finance Manager;CFO;;;
Data Analyst;Data Analyst;Senior Data Analyst;Team Lead;Account/ Senior Account Manager;Business Head;Chief Data Officer;;
Data Analyst;Data Analyst;Senior Financial Analyst;Finance Manager;;;;;
Data Analyst;Data Analyst;Senior Financial Analyst;Senior Business Analyst;;;;;
Data Analyst;Data Analyst;Senior Financial Analyst;FInance Director;;;;;
Data Analyst;Data Analyst;Business Analyst;Senior Business Analyst;;;;;
Data Analyst;Data Analyst;Business Analyst;Business Analyst, IT;;;;;
Data Analyst;Data Analyst;Senior Data Analyst;Director of Analytics;;;;;
Data Analyst;Data Analyst;Senior Data Analyst;Analytics Manager;;;;;
Data Analyst;Data Analyst;Senior Data Analyst;Data Scientist;;;;;
Data Analyst;Data Analyst;Analytics Manager;Director of Analytics;;;;;
Data Analyst;Data Analyst;Analytics Manager;Data Scientist;;;;;
Data Analyst;Data Analyst;Analytics Manager;Senior Manager, Business Analytics;;;;;
Data Analyst;Data Analyst;Analytics Manager;Business Insight and Analytics Manager;;;;;
Data Analyst;Data Analyst;Data Scientis;Senior Data Scientist;;;;;
Data Engineer;Data Engineer;Senior Data Engineer;;;;;;
Data Engineer;Data Engineer;Lead Software Manager;Data Engineering Manager;;;;;
Data Engineer;Data Engineer;Data Scientist;;;;;;
Data Engineer;Data Engineer;Big Data Architech;System Architech;AI Developer;Data Scientist;Data Engineer;IT/Operations Manager;
Data Engineer;Data Engineer;Mid-Level Data Engineers;Senior Data Engineers;Chief Data Officer, Manager of Data Engineer, Data Architect, Data Science Engineer;;;;
Data Engineer;Data Engineer;Senior Data Engineer;Information Architech;Chief Data Scientist;;;;
